text,category
"Water shortage in my area, people suffering.",Social Issues
Crime is getting worse in Kingston last night.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
Local football team played well yesterday.,Sports
Local football team played well yesterday.,Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Water shortage in my area, people suffering.",Social Issues
The government must fix the roads.,Politics & Government
The government must fix the roads.,Politics & Government
Politicians promise change but there's no action.,Politics & Government
Crime is getting worse in Kingston last night.,Crime & Safety
"Water shortage in my area, people suffering.",Social Issues
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Local football team played well yesterday.,Sports
Politicians promise change but there's no action.,Politics & Government
Politicians promise change but there's no action.,Politics & Government
The government must fix the roads.,Politics & Government
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
Teachers deserve better pay now.,Social Issues
Politicians promise change but there's no action.,Politics & Government
Local football team played well yesterday.,Sports
"New dancehall album dropped, it's fire!",Entertainment & Music
Crime is getting worse in Kingston last night.,Crime & Safety
"Water shortage in my area, people suffering.",Social Issues
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
Teachers deserve better pay now.,Social Issues
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Politicians promise change but there's no action.,Politics & Government
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Crime is getting worse in Kingston last night.,Crime & Safety
Teachers deserve better pay now.,Social Issues
The government must fix the roads.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
"Reggae Boyz won the match, proud!",Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
Crime is getting worse in Kingston last night.,Crime & Safety
Local football team played well yesterday.,Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
"New dancehall album dropped, it's fire!",Entertainment & Music
Police need to patrol the neighborhoods more.,Crime & Safety
"New dancehall album dropped, it's fire!",Entertainment & Music
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Water shortage in my area, people suffering.",Social Issues
Teachers deserve better pay now.,Social Issues
Crime is getting worse in Kingston last night.,Crime & Safety
"Water shortage in my area, people suffering.",Social Issues
Inflation has made groceries unaffordable.,Economy & Cost of Living
The government must fix the roads.,Politics & Government
"Reggae Boyz won the match, proud!",Sports
Politicians promise change but there's no action.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
Police need to patrol the neighborhoods more.,Crime & Safety
Local football team played well yesterday.,Sports
"The concert was amazing, great vibes!",Entertainment & Music
Local football team played well yesterday.,Sports
"Reggae Boyz won the match, proud!",Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
"Reggae Boyz won the match, proud!",Sports
Police need to patrol the neighborhoods more.,Crime & Safety
Inflation has made groceries unaffordable.,Economy & Cost of Living
The government must fix the roads.,Politics & Government
The government must fix the roads.,Politics & Government
Inflation has made groceries unaffordable.,Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
Local football team played well yesterday.,Sports
"Reggae Boyz won the match, proud!",Sports
Police need to patrol the neighborhoods more.,Crime & Safety
"New dancehall album dropped, it's fire!",Entertainment & Music
Local football team played well yesterday.,Sports
"The concert was amazing, great vibes!",Entertainment & Music
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Politicians promise change but there's no action.,Politics & Government
Local football team played well yesterday.,Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
The government must fix the roads.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
"The concert was amazing, great vibes!",Entertainment & Music
The government must fix the roads.,Politics & Government
Teachers deserve better pay now.,Social Issues
Local football team played well yesterday.,Sports
"Water shortage in my area, people suffering.",Social Issues
"New dancehall album dropped, it's fire!",Entertainment & Music
"Water shortage in my area, people suffering.",Social Issues
The government must fix the roads.,Politics & Government
The government must fix the roads.,Politics & Government
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
"New dancehall album dropped, it's fire!",Entertainment & Music
Police need to patrol the neighborhoods more.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
Local football team played well yesterday.,Sports
"Reggae Boyz won the match, proud!",Sports
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Crime is getting worse in Kingston last night.,Crime & Safety
"Reggae Boyz won the match, proud!",Sports
Police need to patrol the neighborhoods more.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"New dancehall album dropped, it's fire!",Entertainment & Music
Crime is getting worse in Kingston last night.,Crime & Safety
Crime is getting worse in Kingston last night.,Crime & Safety
Police need to patrol the neighborhoods more.,Crime & Safety
Inflation has made groceries unaffordable.,Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Teachers deserve better pay now.,Social Issues
Local football team played well yesterday.,Sports
Crime is getting worse in Kingston last night.,Crime & Safety
Teachers deserve better pay now.,Social Issues
"New dancehall album dropped, it's fire!",Entertainment & Music
The government must fix the roads.,Politics & Government
Crime is getting worse in Kingston last night.,Crime & Safety
Crime is getting worse in Kingston last night.,Crime & Safety
Inflation has made groceries unaffordable.,Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
Local football team played well yesterday.,Sports
Crime is getting worse in Kingston last night.,Crime & Safety
Crime is getting worse in Kingston last night.,Crime & Safety
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Water shortage in my area, people suffering.",Social Issues
Politicians promise change but there's no action.,Politics & Government
Crime is getting worse in Kingston last night.,Crime & Safety
Local football team played well yesterday.,Sports
"Reggae Boyz won the match, proud!",Sports
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Water shortage in my area, people suffering.",Social Issues
Teachers deserve better pay now.,Social Issues
"Water shortage in my area, people suffering.",Social Issues
Teachers deserve better pay now.,Social Issues
The government must fix the roads.,Politics & Government
"Reggae Boyz won the match, proud!",Sports
"The concert was amazing, great vibes!",Entertainment & Music
"The concert was amazing, great vibes!",Entertainment & Music
Inflation has made groceries unaffordable.,Economy & Cost of Living
Politicians promise change but there's no action.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
"The concert was amazing, great vibes!",Entertainment & Music
Local football team played well yesterday.,Sports
Local football team played well yesterday.,Sports
Politicians promise change but there's no action.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
The government must fix the roads.,Politics & Government
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Water shortage in my area, people suffering.",Social Issues
Teachers deserve better pay now.,Social Issues
Police need to patrol the neighborhoods more.,Crime & Safety
Police need to patrol the neighborhoods more.,Crime & Safety
The government must fix the roads.,Politics & Government
Teachers deserve better pay now.,Social Issues
"Water shortage in my area, people suffering.",Social Issues
Crime is getting worse in Kingston last night.,Crime & Safety
Teachers deserve better pay now.,Social Issues
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"New dancehall album dropped, it's fire!",Entertainment & Music
"Water shortage in my area, people suffering.",Social Issues
Inflation has made groceries unaffordable.,Economy & Cost of Living
Teachers deserve better pay now.,Social Issues
The government must fix the roads.,Politics & Government
Police need to patrol the neighborhoods more.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
"Water shortage in my area, people suffering.",Social Issues
Politicians promise change but there's no action.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
Police need to patrol the neighborhoods more.,Crime & Safety
Politicians promise change but there's no action.,Politics & Government
Inflation has made groceries unaffordable.,Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
Local football team played well yesterday.,Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
"The concert was amazing, great vibes!",Entertainment & Music
"The concert was amazing, great vibes!",Entertainment & Music
Teachers deserve better pay now.,Social Issues
Teachers deserve better pay now.,Social Issues
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"The concert was amazing, great vibes!",Entertainment & Music
"The concert was amazing, great vibes!",Entertainment & Music
"New dancehall album dropped, it's fire!",Entertainment & Music
"Reggae Boyz won the match, proud!",Sports
"The concert was amazing, great vibes!",Entertainment & Music
"Reggae Boyz won the match, proud!",Sports
"Reggae Boyz won the match, proud!",Sports
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
Local football team played well yesterday.,Sports
Local football team played well yesterday.,Sports
Police need to patrol the neighborhoods more.,Crime & Safety
"New dancehall album dropped, it's fire!",Entertainment & Music
Politicians promise change but there's no action.,Politics & Government
Local football team played well yesterday.,Sports
"The concert was amazing, great vibes!",Entertainment & Music
"New dancehall album dropped, it's fire!",Entertainment & Music
"New dancehall album dropped, it's fire!",Entertainment & Music
"Reggae Boyz won the match, proud!",Sports
The government must fix the roads.,Politics & Government
Local football team played well yesterday.,Sports
"The concert was amazing, great vibes!",Entertainment & Music
"Reggae Boyz won the match, proud!",Sports
Politicians promise change but there's no action.,Politics & Government
"Water shortage in my area, people suffering.",Social Issues
Police need to patrol the neighborhoods more.,Crime & Safety
"Water shortage in my area, people suffering.",Social Issues
The government must fix the roads.,Politics & Government
"Reggae Boyz won the match, proud!",Sports
Crime is getting worse in Kingston last night.,Crime & Safety
Crime is getting worse in Kingston last night.,Crime & Safety
The government must fix the roads.,Politics & Government
Inflation has made groceries unaffordable.,Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
Police need to patrol the neighborhoods more.,Crime & Safety
Politicians promise change but there's no action.,Politics & Government
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"New dancehall album dropped, it's fire!",Entertainment & Music
Politicians promise change but there's no action.,Politics & Government
"Reggae Boyz won the match, proud!",Sports
"Water shortage in my area, people suffering.",Social Issues
Local football team played well yesterday.,Sports
Police need to patrol the neighborhoods more.,Crime & Safety
"Reggae Boyz won the match, proud!",Sports
Politicians promise change but there's no action.,Politics & Government
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"New dancehall album dropped, it's fire!",Entertainment & Music
The government must fix the roads.,Politics & Government
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Politicians promise change but there's no action.,Politics & Government
"The concert was amazing, great vibes!",Entertainment & Music
Police need to patrol the neighborhoods more.,Crime & Safety
Police need to patrol the neighborhoods more.,Crime & Safety
Politicians promise change but there's no action.,Politics & Government
Teachers deserve better pay now.,Social Issues
"New dancehall album dropped, it's fire!",Entertainment & Music
"Reggae Boyz won the match, proud!",Sports
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Reggae Boyz won the match, proud!",Sports
"New dancehall album dropped, it's fire!",Entertainment & Music
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Crime is getting worse in Kingston last night.,Crime & Safety
Crime is getting worse in Kingston last night.,Crime & Safety
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
Police need to patrol the neighborhoods more.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
"Reggae Boyz won the match, proud!",Sports
"Gas prices are rising again, can't afford it.",Economy & Cost of Living
Inflation has made groceries unaffordable.,Economy & Cost of Living
"Reggae Boyz won the match, proud!",Sports
"The concert was amazing, great vibes!",Entertainment & Music
Crime is getting worse in Kingston last night.,Crime & Safety
"The concert was amazing, great vibes!",Entertainment & Music
Teachers deserve better pay now.,Social Issues
"Reggae Boyz won the match, proud!",Sports
"New dancehall album dropped, it's fire!",Entertainment & Music
Crime is getting worse in Kingston last night.,Crime & Safety
"New dancehall album dropped, it's fire!",Entertainment & Music
Teachers deserve better pay now.,Social Issues
"New dancehall album dropped, it's fire!",Entertainment & Music
Politicians promise change but there's no action.,Politics & Government
